Date,CounterMean
2017-06-19,50000000.0503080
2017-06-20,50000000.0436197
2017-06-21,50000000.0466231
2017-06-22,50000000.0474841
2017-06-23,50000000.0502533
2017-06-24,50000000.0529073
2017-06-25,50000000.0554034
2017-06-26,50000000.0564530
2017-06-27,50000000.0521092
2017-06-28,50000000.0419251
2017-06-29,50000000.0470592
2017-06-30,50000000.0526990
2017-07-01,50000000.0494887
2017-09-23,50000000.0647504
2017-09-24,50000000.0623329
2017-09-25,50000000.0644475
2017-09-26,50000000.0659920
2017-09-27,50000000.0671800
2017-09-28,50000000.0689000
2017-09-29,50000000.0729604
2017-09-30,50000000.0675409
2017-10-01,50000000.0683942
2017-11-23,50000000.1033143
2017-11-24,50000000.0983186
2017-11-25,50000000.1012694
2017-11-26,50000000.1010550
2017-11-27,50000000.1033420
2017-11-28,50000000.1020248
2017-11-29,50000000.1021529
2017-11-30,50000000.0957795
2017-12-01,50000000.0952505
2017-12-02,50000000.0977495
2017-12-03,50000000.0987394
2017-12-04,50000000.1046319
2017-12-05,50000000.1090111
2017-12-06,50000000.1095010
2017-12-07,50000000.1056670
2017-12-08,50000000.0997544
2017-12-09,50000000.0994874
2017-12-10,50000000.0990510
2017-12-11,50000000.0906778
2017-12-12,50000000.0863021
2017-12-13,50000000.0969522
2017-05-31,50000000.0577801
2017-06-01,50000000.0564019
2017-06-02,50000000.0561182
2017-06-03,50000000.0563556
2017-06-04,50000000.0560288
2017-06-05,50000000.0575627
2017-06-06,50000000.0572461
2017-06-07,50000000.0573603
2017-06-08,50000000.0536734
2017-06-09,50000000.0533165
2017-06-10,50000000.0544434
2017-06-11,50000000.0525342
2017-06-12,50000000.0550093
2017-06-13,50000000.0545944
2017-06-14,50000000.0556697
2017-12-15,50000000.0949101
2017-12-16,50000000.0888618
2017-12-17,50000000.0904523
2018-01-11,37906413362233836435550062073872384.0000000
2018-01-12,50000000.1087178
2018-01-13,50000000.1026292
2018-01-14,49996020.4812753
2018-01-15,50000000.1095232
2018-01-16,50000000.1143874
2018-01-17,50000000.1164961
2018-02-06,50000000.1052736
2018-02-07,50000000.0969468
